k,recall,ancestral_recall,reduction_rate,precision
296,0.9713672154617037,0.1,0.6439739895071307,0.007041157302671177
301,0.9727988546886185,0.1,0.6383248355870834,0.006941393999448366
306,0.9727988546886185,0.1,0.6327828271632306,0.006836635107806542
311,0.9735146743020758,0.1,0.6271687726298677,0.006738644640547812
316,0.9742304939155333,0.1,0.6216082908446021,0.006644502052911913
321,0.9749463135289907,0.1,0.6160551984039015,0.006553212373157811
326,0.9763779527559056,0.1,0.6104965639547772,0.006469176555400624
331,0.9770937723693629,0.1,0.604880662085273,0.006381904378968235
336,0.9770937723693629,0.1,0.599318332963866,0.0062933097276587505
341,0.9799570508231925,0.1,0.5936636370353949,0.006223915474772457
346,0.98067287043665,0.1,0.5881567279982266,0.006145178726019225
351,0.98067287043665,0.1,0.5825574521539939,0.006062751692702571
356,0.9821045096635648,0.1,0.5768935195448164,0.005990324665118147
361,0.9821045096635648,0.1,0.5713182590704204,0.0059124169374369755
366,0.9828203292770222,0.1,0.5657614719574374,0.005841012158494354
371,0.9828203292770222,0.1,0.5602250055420084,0.005767477810122701
376,0.9828203292770222,0.1,0.5546257296977758,0.005694968683893981
381,0.9835361488904796,0.1,0.5490338431981083,0.005628448653719323
386,0.9856836077308518,0.1,0.543521392152516,0.005572620102711037
391,0.9856836077308518,0.1,0.5378279021650779,0.005503971093159807
396,0.9871152469577666,0.1,0.5323136037833445,0.005446975921127473
401,0.9871152469577666,0.1,0.5267531219980788,0.00538297589956983
406,0.9871152469577666,0.1,0.5212332816079214,0.005320914008782016
411,0.9871152469577666,0.1,0.5156506317889603,0.005259584725464171
416,0.9871152469577666,0.1,0.510138180743368,0.005200398232090869
421,0.9871152469577666,0.1,0.5045259735461465,0.005141493605756683
426,0.9885468861846815,0.1,0.49900982782827163,0.0050922579979055735
431,0.9892627057981389,0.1,0.49342163600088673,0.005039730728135336
436,0.9899785254115963,0.1,0.4879202689721422,0.00498919548771821
441,0.9899785254115963,0.1,0.48248540604448387,0.004936799683016767
446,0.9899785254115963,0.1,0.4770523904529668,0.004885510205523488
451,0.9899785254115963,0.1,0.4716156801891672,0.0048352416746787865
456,0.9899785254115963,0.1,0.46620852730362816,0.004786262078130624
461,0.9899785254115963,0.1,0.46078659572895886,0.004738134963187809
466,0.9906943450250537,0.1,0.45523350328825835,0.004693227713102719
471,0.9914101646385111,0.1,0.44986329712554496,0.004650772330423103
476,0.9914101646385111,0.1,0.4445725264169068,0.004606471010829364
481,0.9921259842519685,0.1,0.4392558930022907,0.004566089700931008
486,0.9921259842519685,0.1,0.43387829749501217,0.004522716370862743
491,0.9928418038654259,0.1,0.428502549323875,0.004483406225049537
496,0.9928418038654259,0.1,0.4231304958250203,0.004441654844670175
501,0.9928418038654259,0.1,0.417896992536762,0.004401721336447649
506,0.9928418038654259,0.1,0.41266348924850366,0.004362499488892453
511,0.9928418038654259,0.1,0.40735978718687654,0.004323458267873619
516,0.9928418038654259,0.1,0.40205793246139065,0.004285122869024154
521,0.9928418038654259,0.1,0.39675238306362226,0.004247435308528556
526,0.9935576234788833,0.1,0.3914708490356905,0.0042136067927712965
531,0.9935576234788833,0.1,0.38618007832705237,0.0041772879529784245
536,0.9935576234788833,0.1,0.3809299490135225,0.004141861748951852
541,0.9935576234788833,0.1,0.37570937707825314,0.004107225817524361
546,0.9942734430923408,0.1,0.37044631641173426,0.004075823821121512
551,0.9949892627057981,0.1,0.3652405231655952,0.0040453074433656954
556,0.9949892627057981,0.1,0.3599423631123919,0.004011821886653044
561,0.9949892627057981,0.1,0.35472733318554645,0.003979398738616486
566,0.9949892627057981,0.1,0.3495695706790808,0.003947843029216878
571,0.9949892627057981,0.1,0.34445429690386464,0.003917037705010427
576,0.9949892627057981,0.1,0.3393889012044632,0.0038870028691114704
581,0.9949892627057981,0.1,0.3342385280425626,0.003856932767279891
586,0.9949892627057981,0.1,0.32912879627577035,0.003827556201742502
591,0.9949892627057981,0.1,0.32400982782827165,0.003798571846297212
596,0.9949892627057981,0.1,0.3189425847927289,0.003770309490872596
601,0.9949892627057981,0.1,0.31395477721126136,0.00374289791851792
606,0.9949892627057981,0.1,0.30896327495751125,0.0037158621869586603
611,0.9957050823192556,0.1,0.30396807803147863,0.0036918487377115314
616,0.9957050823192556,0.1,0.29897472844158723,0.0036655519804784983
621,0.9957050823192556,0.1,0.29397214217098944,0.003639579577536651
626,0.9957050823192556,0.1,0.28901758664006505,0.0036142167854516733
631,0.9957050823192556,0.1,0.28410921451267274,0.003589436579739166
636,0.9957050823192556,0.1,0.2792636518140841,0.0035653045374972126
641,0.9957050823192556,0.1,0.2742499815266386,0.003540674484489504
646,0.9964209019327129,0.1,0.2694487548954408,0.0035199336472277994
651,0.9964209019327129,0.1,0.2646327495751127,0.0034968811939638605
656,0.9964209019327129,0.1,0.25978903421266536,0.0034739986673022354
661,0.9964209019327129,0.1,0.2549767235646198,0.0034515591525827185
666,0.9964209019327129,0.1,0.25018103894184585,0.003429483705024982
671,0.9964209019327129,0.1,0.24547587378999483,0.0034080976596260397
676,0.9964209019327129,0.1,0.24074299859602452,0.0033868530733501866
681,0.9964209019327129,0.1,0.23593807729254415,0.003365554325172509
686,0.9964209019327129,0.1,0.2313160422670509,0.0033453175167746526
691,0.9964209019327129,0.1,0.22667183920786227,0.0033252272955295757
696,0.9971367215461704,0.1,0.22203317815709747,0.003307775052299889
701,0.9971367215461704,0.1,0.21748134190497304,0.003288534040930799
706,0.9971367215461704,0.1,0.21277063474469815,0.0032688557596863023
711,0.9978525411596277,0.1,0.2081485997192049,0.00325210838806005
716,0.9978525411596277,0.1,0.20359861080322175,0.0032335284893808512
721,0.9985683607730852,0.1,0.19910404197147713,0.0032176887537741527
726,0.9985683607730852,0.1,0.1945983891228848,0.003199688059085279
731,0.9992841803865425,0.1,0.19008534692972734,0.0031841395182278303
736,0.9992841803865425,0.1,0.18571454961944875,0.0031670481795144615
741,0.9992841803865425,0.1,0.18126985886351882,0.003149855029952955
746,0.9992841803865425,0.1,0.17689721421709895,0.0031331217653211
