k,recall,ancestral_recall,reduction_rate,precision
306,0.831081081081081,0.1,0.17988043702329418,0.006183390307661372
311,0.8327702702702703,0.1,0.17029478458049888,0.006124375760888469
316,0.8344594594594594,0.1,0.16080189651618224,0.006067379849912183
321,0.8445945945945946,0.1,0.15185528756957328,0.006076293946795971
326,0.8513513513513513,0.1,0.14312512883941456,0.006062501503596603
331,0.8648648648648649,0.1,0.13433312719027005,0.006096181551906843
336,0.8716216216216216,0.1,0.1262110904968048,0.006086700088469478
341,0.8834459459459459,0.1,0.11771799628942486,0.006109884461267071
346,0.8851351351351351,0.1,0.1098124098124098,0.0060672023713035225
351,0.8918918918918919,0.1,0.10144300144300145,0.006056573906260754
356,0.9070945945945946,0.1,0.09305297876726448,0.006102827529775434
361,0.9087837837837838,0.1,0.08516800659657803,0.006061493741338711
366,0.9172297297297297,0.1,0.07693259121830551,0.006063245343695565
371,0.9239864864864865,0.1,0.06882086167800454,0.006054702633297544
376,0.9290540540540541,0.1,0.06105957534528963,0.006037586721700184
381,0.9341216216216216,0.1,0.05410224695938982,0.006025868738490372
386,0.9476351351351351,0.1,0.04691816120387549,0.006066963706363283
391,0.964527027027027,0.1,0.040228818800247375,0.006132070406048305
396,0.9695945945945946,0.1,0.03448773448773449,0.006127634135405769
401,0.9746621621621622,0.1,0.028519892805607093,0.006121821056093706
406,0.9831081081081081,0.1,0.022510822510822513,0.0061369100341642415
411,0.9881756756756757,0.1,0.01713048855905999,0.006134776316617379
416,0.9915540540540541,0.1,0.012079983508554937,0.006124280110174443
421,0.9932432432432432,0.1,0.00816326530612245,0.006110487591969073
426,1.0,0.1,0.0050092764378478665,0.006132554333188307
431,1.0,0.1,0.002370645227788085,0.006116334332059097
436,1.0,0.1,0.0007111935683364255,0.00610617734731978
